# nm      dimensionless
352.61214 0.00026
356.92145 0.00026
361.23072 0.00026
365.53999 0.00026
369.84926 0.00026
374.15853 0.00026
378.46781 0.00026
382.77708 0.00026
387.08635 0.00026
391.39689 0.09433
394.92782 0.4751
396.89672 1.22319
398.08189 1.95486
398.87683 2.79889
399.6751 3.88855
400.34175 4.90243
401.19307 6.05219
402.07309 7.39271
402.86934 8.33342
403.66421 9.17223
404.46025 10.09726
405.64584 10.86029
407.61539 11.65616
411.14529 11.96159
415.45391 11.91313
418.98791 12.52072
421.34832 13.25179
423.12094 13.96987
424.69867 14.76164
426.27588 15.51421
429.22498 16.32308
432.74766 16.09544
435.08768 15.32136
436.84107 14.62053
438.39894 13.94635
439.95596 13.20946
441.70965 12.53058
443.6594 11.86581
446.19611 11.15165
449.90806 10.43649
454.21162 10.0146
458.51428 9.52713
462.2266 8.83906
465.15508 8.12624
467.88764 7.40951
470.62019 6.69277
473.54816 5.94244
476.86807 5.20555
480.58057 4.53137
484.68553 3.90850
488.98792 3.40109
493.29051 2.90793
497.59360 2.45182
501.89704 2.02137
506.20141 1.65934
510.50654 1.35432
514.81269 1.12342
519.11902 0.90677
523.42621 0.75283
527.73370 0.62170
532.04139 0.50483
536.34946 0.41646
540.65773 0.34234
544.96599 0.26822
549.27453 0.21406
553.58345 0.18841
557.89211 0.14279
562.20115 0.12569
566.51015 0.10574
570.81884 0.06298
575.12811 0.06298
579.43738 0.06298
583.74665 0.06298
588.05592 0.06298
592.36515 0.06013
596.67361 0.00026
599.61186 0.00810
