# nm      m
251.72816 0.00189
256.93308 0.00186
262.13800 0.00187
267.34292 0.00187
272.54784 0.00187
277.75276 0.00187
282.95768 0.00244
287.92601 0.00378
291.71140 0.01024
294.31386 0.02148
297.38950 0.04297
301.88466 0.07813
307.08957 0.10206
312.29449 0.11800
317.49941 0.13025
322.70433 0.14376
327.90925 0.16100
333.11417 0.18454
338.31909 0.21712
343.52401 0.25994
348.72893 0.30407
353.93385 0.34550
359.13877 0.38581
364.34369 0.43458
369.54861 0.49237
374.75353 0.55947
379.95845 0.63571
385.16337 0.71815
390.36829 0.80426
395.57320 0.88771
400.77812 0.96569
405.98304 1.05664
411.18796 1.14613
416.39288 1.22173
421.59780 1.30990
426.80272 1.39226
432.00764 1.49708
437.21256 1.57740
442.41748 1.67171
447.62240 1.76652
452.82732 1.85052
458.03224 1.96687
463.23716 2.04846
468.44208 2.17725
473.64700 2.28078
478.85192 2.36852
484.05683 2.50285
489.26175 2.61427
494.46667 2.70696
499.67159 2.81109
504.87651 2.94476
510.08143 3.04033
515.28635 3.15728
520.49127 3.28826
525.69619 3.37532
530.90111 3.42468
536.10603 3.62944
541.31095 3.79100
546.51587 3.75813
550.06468 3.86043
