# nm       dimensionless

# ad-hoc data points added by legend-pygeom-optics
358.000000 0.000000
365.000000 0.000080
370.000000 0.000297

# from here on data from [Leonhardt2024]_
375.016000 0.000594
375.808000 0.000690
376.600000 0.000767
377.392000 0.000808
378.184000 0.000892
378.977000 0.000945
379.768000 0.001028
380.560000 0.001095
381.352000 0.001132
382.144000 0.001211
382.936000 0.001309
383.727000 0.001409
384.519000 0.001519
385.310000 0.001649
386.101000 0.001825
386.893000 0.001999
387.684000 0.002158
388.475000 0.002389
389.266000 0.002632
390.057000 0.002874
390.848000 0.003127
391.638000 0.003425
392.429000 0.003744
393.220000 0.004048
394.010000 0.004408
394.801000 0.004720
395.591000 0.005053
396.381000 0.005415
397.171000 0.005750
397.961000 0.006065
398.752000 0.006387
399.541000 0.006730
400.331000 0.006989
401.121000 0.007265
401.911000 0.007541
402.701000 0.007821
403.490000 0.008026
404.280000 0.008222
405.069000 0.008487
405.858000 0.008696
406.648000 0.008908
407.437000 0.009122
408.226000 0.009304
409.015000 0.009493
409.804000 0.009655
410.593000 0.009793
411.381000 0.009921
412.170000 0.010067
412.959000 0.010188
413.747000 0.010293
414.536000 0.010438
415.324000 0.010584
416.112000 0.010725
416.900000 0.010806
417.688000 0.010850
418.477000 0.010896
419.264000 0.010959
420.052000 0.011074
420.840000 0.011096
421.628000 0.011114
422.416000 0.011144
423.203000 0.011148
423.991000 0.011146
424.778000 0.011144
425.565000 0.011141
426.352000 0.011105
427.140000 0.011049
427.927000 0.010953
428.714000 0.010889
429.501000 0.010833
430.287000 0.010788
431.074000 0.010712
431.861000 0.010541
432.648000 0.010457
433.434000 0.010376
434.220000 0.010242
435.007000 0.010116
435.793000 0.009960
436.579000 0.009839
437.365000 0.009680
438.151000 0.009527
438.937000 0.009387
439.723000 0.009299
440.509000 0.009150
441.295000 0.008996
442.080000 0.008822
442.866000 0.008636
443.652000 0.008493
444.437000 0.008339
445.222000 0.008190
446.007000 0.008041
446.793000 0.007912
447.578000 0.007762
448.363000 0.007615
449.148000 0.007484
449.932000 0.007361
450.717000 0.007226
451.502000 0.007038
452.287000 0.006881
453.071000 0.006766
453.855000 0.006631
454.640000 0.006494
455.424000 0.006353
456.208000 0.006239
456.992000 0.006097
457.776000 0.005977
458.560000 0.005821
459.344000 0.005727
460.128000 0.005598
460.912000 0.005474
461.695000 0.005324
462.479000 0.005175
463.262000 0.005053
464.046000 0.004946
464.829000 0.004810
465.612000 0.004704
466.396000 0.004605
467.179000 0.004508
467.962000 0.004355
468.745000 0.004236
469.527000 0.004120
470.310000 0.004025
471.093000 0.003912
471.875000 0.003810
472.658000 0.003711
473.440000 0.003613
474.223000 0.003553
475.005000 0.003466
475.787000 0.003354
476.569000 0.003267
477.351000 0.003176
478.133000 0.003084
478.915000 0.002996
479.697000 0.002922
480.479000 0.002849
481.260000 0.002746
482.042000 0.002661
482.823000 0.002595
483.605000 0.002522
484.386000 0.002463
485.167000 0.002399
485.949000 0.002294
486.730000 0.002218
487.511000 0.002177
488.292000 0.002109
489.072000 0.002045
489.853000 0.001987
490.634000 0.001918
491.414000 0.001885
492.195000 0.001820
492.975000 0.001775
493.756000 0.001717
494.536000 0.001651
495.316000 0.001593
496.096000 0.001528
496.876000 0.001464
497.656000 0.001413
498.436000 0.001373
499.216000 0.001334
499.996000 0.001273
500.775000 0.001234
501.555000 0.001221
502.334000 0.001229
503.114000 0.001173
503.893000 0.001136
504.672000 0.001112
505.451000 0.001083
506.231000 0.001044
507.010000 0.001016
507.788000 0.000998
508.567000 0.000977
509.346000 0.000957
510.125000 0.000932
510.903000 0.000885
511.682000 0.000881
512.460000 0.000849
513.239000 0.000787
514.017000 0.000710
514.795000 0.000687
515.573000 0.000661
516.351000 0.000636
517.129000 0.000620
517.907000 0.000607
518.685000 0.000589
519.463000 0.000571
520.240000 0.000555
521.018000 0.000549
521.795000 0.000536
522.573000 0.000526
523.350000 0.000503
524.127000 0.000498
524.904000 0.000488
525.681000 0.000490
526.458000 0.000470
527.235000 0.000453
528.012000 0.000438
528.789000 0.000430
529.566000 0.000419
530.342000 0.000406
531.119000 0.000379
531.895000 0.000385
532.671000 0.000367
533.448000 0.000371
534.224000 0.000355
535.000000 0.000349
535.776000 0.000335
536.552000 0.000332
537.328000 0.000301
538.104000 0.000338
538.879000 0.000346
539.655000 0.000337
540.431000 0.000373
541.206000 0.000366
541.981000 0.000345
542.757000 0.000351
543.532000 0.000335
544.307000 0.000321
545.082000 0.000299
545.857000 0.000299
546.632000 0.000299
547.407000 0.000278
548.182000 0.000273
548.956000 0.000287
549.731000 0.000243
550.505000 0.000232
551.280000 0.000236
552.054000 0.000197
552.828000 0.000192
553.603000 0.000210
