# nm      nm
050.00000 350.0000
250.00000 350.0000
274.25569 102.76732
281.08581 102.79803
287.39054 102.82637
296.84764 101.52807
302.62697 100.23004
305.77933 89.07908
308.93170 78.13679
313.13485 71.29340
318.38879 62.54161
323.11734 56.32158
326.79510 50.05675
330.99825 46.88700
336.25219 46.28649
345.18389 45.70102
353.59019 45.71782
358.84413 50.12696
364.62347 55.68845
367.77583 65.19302
371.97898 77.33125
375.65674 95.40979
380.91068 124.06602
382.48687 163.43344
386.16462 212.50585
388.26620 302.87049
391.41856 431.68105
398.77408 710.93010
402.45184 1040.25287
408.23117 1625.47721
412.43433 2378.49850
416.11208 3815.05620
420.00000 1E11
