# nm       dimensionless
375.016000 0.000201
375.808000 0.000203
376.600000 0.000198
377.392000 0.000210
378.184000 0.000222
378.977000 0.000236
379.768000 0.000239
380.560000 0.000243
381.352000 0.000245
382.144000 0.000262
382.936000 0.000277
383.727000 0.000298
384.519000 0.000311
385.310000 0.000324
386.101000 0.000334
386.893000 0.000357
387.684000 0.000376
388.475000 0.000404
389.266000 0.000446
390.057000 0.000491
390.848000 0.000563
391.638000 0.000668
392.429000 0.000825
393.220000 0.001051
394.010000 0.001401
394.801000 0.001874
395.591000 0.002483
396.381000 0.003233
397.171000 0.004086
397.961000 0.005005
398.752000 0.005960
399.541000 0.006892
400.331000 0.007781
401.121000 0.008579
401.911000 0.009233
402.701000 0.009730
403.490000 0.010060
404.280000 0.010229
405.069000 0.010238
405.858000 0.010150
406.648000 0.009993
407.437000 0.009824
408.226000 0.009627
409.015000 0.009428
409.804000 0.009276
410.593000 0.009178
411.381000 0.009140
412.170000 0.009133
412.959000 0.009195
413.747000 0.009296
414.536000 0.009432
415.324000 0.009594
416.112000 0.009797
416.900000 0.010043
417.688000 0.010287
418.477000 0.010524
419.264000 0.010793
420.052000 0.011051
420.840000 0.011321
421.628000 0.011585
422.416000 0.011852
423.203000 0.012067
423.991000 0.012289
424.778000 0.012468
425.565000 0.012602
426.352000 0.012686
427.140000 0.012696
427.927000 0.012672
428.714000 0.012560
429.501000 0.012393
430.287000 0.012164
431.074000 0.011924
431.861000 0.011622
432.648000 0.011303
433.434000 0.010977
434.220000 0.010655
435.007000 0.010323
435.793000 0.010005
436.579000 0.009717
437.365000 0.009438
438.151000 0.009193
438.937000 0.008966
439.723000 0.008780
440.509000 0.008616
441.295000 0.008466
442.080000 0.008321
442.866000 0.008215
443.652000 0.008097
444.437000 0.007999
445.222000 0.007925
446.007000 0.007846
446.793000 0.007778
447.578000 0.007714
448.363000 0.007626
449.148000 0.007570
449.932000 0.007517
450.717000 0.007448
451.502000 0.007391
452.287000 0.007329
453.071000 0.007268
453.855000 0.007189
454.640000 0.007104
455.424000 0.007005
456.208000 0.006916
456.992000 0.006787
457.776000 0.006651
458.560000 0.006508
459.344000 0.006354
460.128000 0.006189
460.912000 0.006005
461.695000 0.005822
462.479000 0.005647
463.262000 0.005464
464.046000 0.005279
464.829000 0.005109
465.612000 0.004946
466.396000 0.004797
467.179000 0.004648
467.962000 0.004503
468.745000 0.004372
469.527000 0.004259
470.310000 0.004139
471.093000 0.004026
471.875000 0.003931
472.658000 0.003829
473.440000 0.003746
474.223000 0.003652
475.005000 0.003572
475.787000 0.003499
476.569000 0.003425
477.351000 0.003344
478.133000 0.003274
478.915000 0.003210
479.697000 0.003134
480.479000 0.003069
481.260000 0.002997
482.042000 0.002935
482.823000 0.002874
483.605000 0.002803
484.386000 0.002738
485.167000 0.002684
485.949000 0.002630
486.730000 0.002569
487.511000 0.002515
488.292000 0.002459
489.072000 0.002402
489.853000 0.002344
490.634000 0.002285
491.414000 0.002233
492.195000 0.002181
492.975000 0.002119
493.756000 0.002057
494.536000 0.001999
495.316000 0.001945
496.096000 0.001885
496.876000 0.001827
497.656000 0.001773
498.436000 0.001724
499.216000 0.001663
499.996000 0.001606
500.775000 0.001557
501.555000 0.001510
502.334000 0.001463
503.114000 0.001418
503.893000 0.001400
504.672000 0.001382
505.451000 0.001341
506.231000 0.001299
507.010000 0.001272
507.788000 0.001242
508.567000 0.001213
509.346000 0.001181
510.125000 0.001154
510.903000 0.001124
511.682000 0.001077
512.460000 0.001033
513.239000 0.001005
514.017000 0.000980
514.795000 0.000955
515.573000 0.000934
516.351000 0.000911
517.129000 0.000890
517.907000 0.000866
518.685000 0.000846
519.463000 0.000824
520.240000 0.000803
521.018000 0.000784
521.795000 0.000766
522.573000 0.000749
523.350000 0.000730
524.127000 0.000706
524.904000 0.000685
525.681000 0.000668
526.458000 0.000654
527.235000 0.000637
528.012000 0.000623
528.789000 0.000610
529.566000 0.000595
530.342000 0.000577
531.119000 0.000559
531.895000 0.000545
532.671000 0.000533
533.448000 0.000513
534.224000 0.000504
535.000000 0.000491
535.776000 0.000483
536.552000 0.000470
537.328000 0.000455
538.104000 0.000442
538.879000 0.000430
539.655000 0.000419
540.431000 0.000412
541.206000 0.000409
541.981000 0.000393
542.757000 0.000396
543.532000 0.000383
544.307000 0.000367
545.082000 0.000358
545.857000 0.000353
546.632000 0.000346
547.407000 0.000343
548.182000 0.000330
548.956000 0.000321
549.731000 0.000311
550.505000 0.000295
551.280000 0.000289
552.054000 0.000288
552.828000 0.000284
553.603000 0.000278
554.377000 0.000274
555.151000 0.000267
555.925000 0.000265
556.699000 0.000257
557.472000 0.000252
558.246000 0.000244
559.020000 0.000236
559.793000 0.000231
560.567000 0.000227
561.340000 0.000219
562.113000 0.000212
562.887000 0.000206
563.660000 0.000204
564.433000 0.000211
565.206000 0.000211
565.979000 0.000210
566.752000 0.000209
567.524000 0.000208
568.297000 0.000203
569.070000 0.000204
569.842000 0.000201
570.615000 0.000199
571.387000 0.000192
572.159000 0.000181
572.931000 0.000176
573.703000 0.000169
574.476000 0.000165
575.247000 0.000161
576.019000 0.000160
576.791000 0.000155
577.563000 0.000152
578.334000 0.000148
579.106000 0.000149
579.877000 0.000142
580.649000 0.000137
581.420000 0.000137
582.191000 0.000133
582.963000 0.000130
583.734000 0.000130
584.505000 0.000128
585.275000 0.000125
586.046000 0.000124
586.817000 0.000118
587.588000 0.000118
588.358000 0.000119
589.129000 0.000115
589.899000 0.000115
590.670000 0.000112
591.440000 0.000105
592.210000 0.000103
592.980000 0.000103
593.750000 0.000098
594.520000 0.000096
595.290000 0.000093
596.060000 0.000091
596.829000 0.000089
597.599000 0.000087
598.369000 0.000089
599.138000 0.000087
599.907000 0.000085
600.677000 0.000089
601.446000 0.000091
602.215000 0.000091
602.984000 0.000091
603.753000 0.000091
604.522000 0.000093
605.291000 0.000093
606.060000 0.000093
606.828000 0.000089
607.597000 0.000091
608.365000 0.000082
609.134000 0.000082
609.902000 0.000084
610.670000 0.000082
611.439000 0.000079
612.207000 0.000074
612.975000 0.000070
613.743000 0.000072
614.510000 0.000076
615.278000 0.000071
616.046000 0.000074
616.814000 0.000069
617.581000 0.000068
618.349000 0.000071
619.116000 0.000075
619.883000 0.000077
620.650000 0.000075
621.418000 0.000071
622.185000 0.000070
622.952000 0.000070
623.719000 0.000068
624.485000 0.000067
625.252000 0.000063
626.019000 0.000059
626.785000 0.000059
627.552000 0.000060
628.318000 0.000057
629.085000 0.000054
629.851000 0.000052
630.617000 0.000052
631.383000 0.000051
632.149000 0.000054
632.915000 0.000051
633.681000 0.000053
634.447000 0.000047
635.212000 0.000046
635.978000 0.000049
636.744000 0.000050
637.509000 0.000048
638.274000 0.000048
639.040000 0.000050
639.805000 0.000051
640.570000 0.000052
641.335000 0.000050
642.100000 0.000052
642.865000 0.000048
643.630000 0.000052
644.394000 0.000050
645.159000 0.000050
645.924000 0.000045
646.688000 0.000043
647.453000 0.000041
648.217000 0.000042
648.981000 0.000042
649.745000 0.000040
