# nm     mm
380.5359 0.3758
382.7277 0.4457
384.6675 0.5604
386.4604 0.2549
388.5472 0.2937
390.4870 0.4058
392.4269 0.7564
394.3667 1.1720
396.6063 1.7744
399.0497 2.4753
400.8916 3.9466
402.6551 5.0731
404.5068 6.8639
406.0939 8.2917
407.5929 10.1109
409.2241 12.2749
410.5247 14.3209
412.1779 16.8414
413.7651 19.0424
415.3522 21.3319
416.7630 23.6221
418.5265 25.7956
419.9373 28.0331
421.3657 30.1711
422.8390 32.3501
424.3867 34.6198
426.2047 37.2724
427.5238 39.1275
428.9310 41.3830
429.6364 43.0375
431.0825 44.6318
432.8813 46.6015
434.6223 48.5223
436.3965 50.7679
438.3657 53.0692
439.5120 55.1642
441.4518 57.0244
443.3182 58.3387
444.4497 58.7343
445.3609 60.8373
447.1454 61.3766
448.4078 63.1698
450.5967 63.6815
452.3120 64.6267
454.3564 65.4004
456.3092 66.1446
458.3011 67.7824
460.3076 68.2573
464.3687 69.1660
466.3082 69.4210
467.9747 69.0529
474.4290 69.7186
475.7516 69.5965
478.9112 70.9755
480.6122 71.1224
482.6488 71.3394
484.7160 71.5693
489.1541 71.2311
493.5188 71.1341
495.3557 70.3446
497.4986 69.7107
499.0787 69.2227
501.1165 67.7364
502.8741 67.5254
504.7610 67.4859
508.1356 67.6422
511.4297 67.7565
518.7807 67.0881
523.3834 67.1796
526.0992 67.4574
527.8186 67.6737
529.3616 68.0770
533.4177 69.1077
538.6200 69.8746
540.5598 70.3309
542.4996 70.3277
543.9986 70.4992
548.6718 70.2329
553.7859 69.1941
555.7258 68.8777
557.6656 68.3743
558.9882 68.0007
563.3969 66.5712
568.5992 65.4022
570.5391 65.2242
572.4789 64.7695
573.8897 64.5717
578.4748 64.5380
583.4125 65.1323
585.3524 65.8164
587.2922 66.3866
588.7912 66.4781
593.3762 67.5016
598.0495 68.6281
599.9893 68.8893
601.9468 69.1024
603.4281 69.3924
608.1013 70.5099
613.2155 71.3434
615.1553 72.3067
617.0951 72.7360
618.4177 72.9480
622.9146 74.0237
627.1470 76.4575
629.0868 76.9708
631.0267 78.4357
632.1729 78.9934
636.0526 80.8292
640.1968 84.1252
642.3886 86.2386
643.8120 87.2857
647.2508 90.7117
650.8659 94.4017
652.5412 96.5345
654.1284 98.0538
657.3908 101.6405
660.5827 104.4960
662.1522 106.4628
662.9458 108.5769
666.4728 111.8888
668.8241 115.6327
670.7051 116.6733
673.7031 116.8666
676.3483 120.3332
678.1118 122.1505
679.7342 122.0227
681.2861 120.9319
684.0547 125.0040
685.2980 127.1816
688.0755 128.1820
691.4114 130.8079
693.1455 132.2029
696.6284 134.2453
698.5682 132.8147
699.8909 133.6449
